title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type,issues,issues_with_text,directory
"Higher Education Funding Act 1988, ... determinations : report setting out details of determinations made under the Higher Education Funding Act 1988 in respect of ... ... ... / / Department. of Education, Training and Youth Affairs. Higher Education Division","Australia. Department of Education, Training and Youth Affairs. Higher Education Division",1998-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1791407911,https://trove.nla.gov.au/work/33507721,nla.obj-1791407911,digitised,1,1,higher-education-funding-act-1988-determinations-r-nla.obj-1791407911
"Higher Education Funding Act 1988, ... determinations : report setting out details of determinations made under the Higher Education Funding Act 1988 in respect of ... / Department of Employment, Education, Training and Youth Affairs, Higher Education Division","Australia. Department of Employment, Education, Training and Youth Affairs. Higher Education Division",1995-1997,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1523799748,https://trove.nla.gov.au/work/22498883,nla.obj-1523799748,digitised,3,3,higher-education-funding-act-1988-determinations-r-nla.obj-1523799748
"Higher Education Funding Act 1988, ... determinations : report setting out details of determinations made under the Higher Education Funding Act 1988 in respect of the years / / Department. of Education, Science and Training. Higher Education Group","Australia. Department of Education, Science and Training. Higher Education Group",1999-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2139151458,https://trove.nla.gov.au/work/34732122,nla.obj-2139151458,digitised,2,2,higher-education-funding-act-1988-determinations-r-nla.obj-2139151458
"Higher education (Australia. Department of Education, Science and Training)","Australia. Department of Education, Science and Training",2002-2005,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-855963932,https://trove.nla.gov.au/work/16201802,nla.obj-855963932,digitised,3,3,higher-education-australia-department-of-education-nla.obj-855963932
"Higher education report (Australia. Dept. of Education, Science and Training)","Australia. Department of Education, Science and Training",2005-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-961678872,https://trove.nla.gov.au/work/20189784,nla.obj-961678872,digitised,2,2,higher-education-report-australia-dept-of-educatio-nla.obj-961678872
"Highlander (Sydney, N.S.W.)","Australia. Army. New South Wales Scottish Regiment. Battalion, 30th",1935,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-8125630,https://trove.nla.gov.au/work/31021867,nla.obj-8125630,digitised,32,32,highlander-sydney-n-s-w-nla.obj-8125630
"Home (Sydney, N.S.W. : 1920)","Smith, Sydney Ure, 1887-1949",1920-2021,"Periodical | Periodical/Journal, magazine, other | Microform | Periodical/Newspaper",http://nla.gov.au/nla.obj-362409353,https://trove.nla.gov.au/work/12397115,nla.obj-362409353,digitised,229,229,home-sydney-n-s-w-1920-nla.obj-362409353
Homes Savings Grant Act 1964 : annual report for the year.....,"Australia. Department of Environment, Housing and Community Development",1976,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2057839229,https://trove.nla.gov.au/work/8770050,nla.obj-2057839229,digitised,1,1,homes-savings-grant-act-1964-annual-report-for-the-nla.obj-2057839229
"Homes Savings Grant Act 1964, Homes Savings Grant Act 1976 : annual reports for the year ... / Department of Environment, Housing and Community Development","Australia. Department of Environment, Housing and Community Development",1977,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2689527348,https://trove.nla.gov.au/work/18724972,nla.obj-2689527348,digitised,1,1,homes-savings-grant-act-1964-homes-savings-grant-a-nla.obj-2689527348
"Homes Savings Grant Act 1964, Homes Savings Grant Act 1976 : annual reports for the year ... / Department of Housing and Construction",Australia,1978,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2689527441,https://trove.nla.gov.au/work/19256007,nla.obj-2689527441,digitised,1,1,homes-savings-grant-act-1964-homes-savings-grant-a-nla.obj-2689527441
Homes Savings Grant Act 1976 : annual report for the year ... / Department of Housing and Construction,Australia. Department of Housing and Construction,1979-1980,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-837083515,https://trove.nla.gov.au/work/18363633,nla.obj-837083515,digitised,2,2,homes-savings-grant-act-1976-annual-report-for-the-nla.obj-837083515
"Homes Savings Grant Act : annual report of the Secretary, Department of Housing and Construction for the year ... ..",Australia. Department of Housing and Construction,1974-1975,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2057839553,https://trove.nla.gov.au/work/12086954,nla.obj-2057839553,digitised,2,2,homes-savings-grant-act-annual-report-of-the-secre-nla.obj-2057839553
"Homes Savings Grant Act : annual report of the Secretary, Department of Housing for the year ... ..",Australia. Department of Housing,1966-1972,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1166288652,https://trove.nla.gov.au/work/11376537,nla.obj-1166288652,digitised,9,9,homes-savings-grant-act-annual-report-of-the-secre-nla.obj-1166288652
Honk (Ceramic (Troopship)),"Australia. Army. Corps, 5th. Ammunition Parks",1915-1916,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-3590239,https://trove.nla.gov.au/work/22417632,nla.obj-3590239,digitised,9,9,honk-ceramic-troopship-nla.obj-3590239
Horticultural magazine and garden guide,,1877,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1305553439,https://trove.nla.gov.au/work/7158579,nla.obj-1305553439,digitised,24,24,horticultural-magazine-and-garden-guide-nla.obj-1305553439
Hula times,Hawaiian Club of Australia,1939-1940,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-638580284,https://trove.nla.gov.au/work/6919377,nla.obj-638580284,digitised,3,3,hula-times-nla.obj-638580284
Il Mentore Cristiano per la gioventu,,1800-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-60916156,https://trove.nla.gov.au/work/6359937,nla.obj-60916156,digitised,3,3,il-mentore-cristiano-per-la-gioventu-nla.obj-60916156
"Immigration Act 1901- ... : return showing, for ... (a) persons refused admission to the Commonwealth (b) persons who passed the dictation test (c) persons admitted without being asked to pass the dictation test (d) departures of coloured persons from the Commonwealth",Australia. Parliament,1900,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2568087311,https://trove.nla.gov.au/work/238975531,nla.obj-2568087311,digitised,7,7,immigration-act-1901-return-showing-for-a-persons--nla.obj-2568087311
Immigration Restriction Act 1901,Australia. Parliament. House of Representatives,1903-1905,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2077407990,https://trove.nla.gov.au/work/235519316,nla.obj-2077407990,digitised,3,3,immigration-restriction-act-1901-nla.obj-2077407990
Immigration Restriction Acts 1901-1905,"Australia. Parliament. House of Representatives, The Senate",1906-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2545004951,https://trove.nla.gov.au/work/235519319,nla.obj-2545004951,digitised,13,13,immigration-restriction-acts-1901-1905-nla.obj-2545004951
Implementation of the Commonwealth Government responses to the recommendations of the Royal Commission into Aboriginal Deaths in Custody : annual report,Australia. Aboriginal and Torres Strait Islander Commission. Royal Commission Government Response Monitoring Unit,1992-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1600137198,https://trove.nla.gov.au/work/6582901,nla.obj-1600137198,digitised,8,8,implementation-of-the-commonwealth-government-resp-nla.obj-1600137198
Impulso ás letras / redactor J.M. da Silva e Sousa,"Souza, J. M. da Silva e",1865-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2834590440,https://trove.nla.gov.au/work/26894595,nla.obj-2834590440,digitised,7,7,impulso-as-letras-redactor-j-m-da-silva-e-sousa-nla.obj-2834590440
"Income tax statistics (Canberra, A.C.T. : 1973)",Australia. Treasury,1974-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-827988414,https://trove.nla.gov.au/work/26651832,nla.obj-827988414,digitised,21,21,income-tax-statistics-canberra-a-c-t-1973-nla.obj-827988414
"Income tax statistics (Canberra, A.C.T.)",Australia. Taxation Branch,1963-1964,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-837147950,https://trove.nla.gov.au/work/11691253,nla.obj-837147950,digitised,2,2,income-tax-statistics-canberra-a-c-t-nla.obj-837147950
Industries Assistance Commission report,Australia. Industries Assistance Commission,1900-1990,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-823714584,https://trove.nla.gov.au/work/13479906,nla.obj-823714584,digitised,429,425,industries-assistance-commission-report-nla.obj-823714584
"Industry statistics (Canberra, A.C.T.)",Australia. Insurance and Superannuation Commission,1988,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1941237543,https://trove.nla.gov.au/work/18936748,nla.obj-1941237543,digitised,1,1,industry-statistics-canberra-a-c-t-nla.obj-1941237543
Innovation Australia : activities of the Venture Capital Registration Board : annual report .,Australia. Venture Capital Registration Board,2007-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-989823364,https://trove.nla.gov.au/work/8254758,nla.obj-989823364,digitised,1,1,innovation-australia-activities-of-the-venture-cap-nla.obj-989823364
Inquiry report (Australia. Productivity Commission),Australia. Productivity Commission,1998-2021,"Government publication | Periodical | Periodical/Journal, magazine, other | Archived website",https://nla.gov.au/nla.obj-666536454,https://trove.nla.gov.au/work/28247741,nla.obj-666536454,digitised,71,60,inquiry-report-australia-productivity-commission-nla.obj-666536454
Inside Indonesia : bulletin of the Indonesia Resources and Information Programme,Indonesia Resources and Information Programme (Australia),1983-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-88227234,https://trove.nla.gov.au/work/21723103,nla.obj-88227234,digitised,89,89,inside-indonesia-bulletin-of-the-indonesia-resourc-nla.obj-88227234
Interim report on investigation into present position of Tasmania / Development and Migration Commission,Australia. Development and Migration Commission,1927,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2615263896,https://trove.nla.gov.au/work/20996993,nla.obj-2615263896,digitised,2,2,interim-report-on-investigation-into-present-posit-nla.obj-2615263896
International Labour Conference ... session ... : Australian Delegation report,Australia. Delegation to the International Labour Conference,1966-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1717950149,https://trove.nla.gov.au/work/7121730,nla.obj-1717950149,digitised,14,14,international-labour-conference-session-australian-nla.obj-1717950149
International accountants' journal : official organ of the International Accountants Corporation and Bookkeepers Institute of Australasia,International Accountants Corporation and Bookkeepers Institute of Australasia,1929,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2942278153,https://trove.nla.gov.au/work/24608588,nla.obj-2942278153,digitised,1,1,international-accountants-journal-official-organ-o-nla.obj-2942278153
"International directory (Adelaide, S.A.)",,1927,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-851660905,https://trove.nla.gov.au/work/6878019,nla.obj-851660905,digitised,1,1,international-directory-adelaide-s-a-nla.obj-851660905
"Investing in our natural and cultural heritage : the Commonwealth's environment expenditure ... / statement by ... , Minister for the Environment and Heritage",Australia. Environment Australia,1999-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1563224833,https://trove.nla.gov.au/work/32624614,nla.obj-1563224833,digitised,3,3,investing-in-our-natural-and-cultural-heritage-the-nla.obj-1563224833
"Investing in our natural heritage : the Commonwealth's environment expenditure ... / statement by ... , Minister for the Environment",Australia. Department of the Environment,1997-1998,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1600005617,https://trove.nla.gov.au/work/8346127,nla.obj-1600005617,digitised,3,3,investing-in-our-natural-heritage-the-commonwealth-nla.obj-1600005617
Ironside's advertiser and Sydney price current (Online),,1835,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-731256985,https://trove.nla.gov.au/work/234174921,nla.obj-731256985,other,3,3,ironside-s-advertiser-and-sydney-price-current-onl-nla.obj-731256985
J. Cox and Co's Australian almanac,,1857-1858,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2886952021,https://trove.nla.gov.au/work/18165276,nla.obj-2886952021,digitised,2,2,j-cox-and-co-s-australian-almanac-nla.obj-2886952021
Jahrbuch uber die Evangelisch-Lutherische Mission in Neuguinea,,1925,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-291668456,https://trove.nla.gov.au/work/5527823,nla.obj-291668456,digitised,1,1,jahrbuch-uber-die-evangelisch-lutherische-mission--nla.obj-291668456
Jewish missionary intelligence,London Society for Promoting Christianity Amongst the Jews,1893-1946,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-265488023,https://trove.nla.gov.au/work/10831898,nla.obj-265488023,digitised,24,24,jewish-missionary-intelligence-nla.obj-265488023
Jiao yu xin li jiang zuo yan jiu bao gao,Zhonghua jiao yu wen hua ji jin dong shi hui,1929,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-82717308,https://trove.nla.gov.au/work/12605344,nla.obj-82717308,digitised,5,5,jiao-yu-xin-li-jiang-zuo-yan-jiu-bao-gao-nla.obj-82717308
Jindyworobak publications : list of available and projected books,Jindyworobak Club,1940,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2931196221,https://trove.nla.gov.au/work/34992338,nla.obj-2931196221,digitised,1,1,jindyworobak-publications-list-of-available-and-pr-nla.obj-2931196221
Journal and proceedings (Australian Historical Society),Australian Historical Society,1901-1918,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-283107843,https://trove.nla.gov.au/work/18725239,nla.obj-283107843,digitised,46,46,journal-and-proceedings-australian-historical-soci-nla.obj-283107843
Journal and proceedings (Royal Australian Historical Society),Royal Australian Historical Society,1900-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-579216301,https://trove.nla.gov.au/work/6501873,nla.obj-579216301,other,295,294,journal-and-proceedings-royal-australian-historica-nla.obj-579216301
Journal and transactions / the Society of Engineers (incorporated),"Society of Engineers (London, England)",1950-1962,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-523874935,https://trove.nla.gov.au/work/18733126,nla.obj-523874935,digitised,1,1,journal-and-transactions-the-society-of-engineers--nla.obj-523874935
Journal of proceedings (Royal Victorian Institute of Architects),Royal Institute of British Architects,1885-1926,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-395618641,https://trove.nla.gov.au/work/12759253,nla.obj-395618641,digitised,120,120,journal-of-proceedings-royal-victorian-institute-o-nla.obj-395618641
Journal of proceedings of the Royal Victorian Institute of Architects,Royal Institute of British Architects,1926-1929,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-395626374,https://trove.nla.gov.au/work/12759101,nla.obj-395626374,digitised,18,18,journal-of-proceedings-of-the-royal-victorian-inst-nla.obj-395626374
"Journal of soil conservation, New South Wales",Soil Conservation Service of New South Wales,1945-2021,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-740911077,https://trove.nla.gov.au/work/10411388,nla.obj-740911077,digitised,183,183,journal-of-soil-conservation-new-south-wales-nla.obj-740911077
"Journal of soil conservation, New South Wales",Soil Conservation Service of New South Wales,1945-2021,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-758603548,https://trove.nla.gov.au/work/10411388,nla.obj-758603548,digitised,13,13,journal-of-soil-conservation-new-south-wales-nla.obj-758603548
Journal of the China Branch of the Royal Asiatic Society for the year ..,Royal Asiatic Society of Great Britain and Ireland. China Branch,1884-1905,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-689870804,https://trove.nla.gov.au/work/18800208,nla.obj-689870804,digitised,1,1,journal-of-the-china-branch-of-the-royal-asiatic-s-nla.obj-689870804
Journal of the Institute of Architects of New South Wales,Institute of Architects of New South Wales,1904,"Periodical | Periodical/Journal, magazine, other | Microform",http://nla.gov.au/nla.obj-815018361,https://trove.nla.gov.au/work/18505174,nla.obj-815018361,digitised,4,4,journal-of-the-institute-of-architects-of-new-sout-nla.obj-815018361
Journal of the Pioneers and Old Residents' Association,Castlemaine Association of Pioneers and Old Residents,1888-1900,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-458085053,https://trove.nla.gov.au/work/22009236,nla.obj-458085053,digitised,12,12,journal-of-the-pioneers-and-old-residents-associat-nla.obj-458085053
Journal of the Royal Military College of Australia,"Royal Military College (Duntroon, A.C.T.)",1913-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-734748369,https://trove.nla.gov.au/work/5571768,nla.obj-734748369,digitised,54,54,journal-of-the-royal-military-college-of-australia-nla.obj-734748369
Journal of the Royal Victorian Institute of Architects,Royal Institute of British Architects,1929-1942,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-395634663,https://trove.nla.gov.au/work/12758064,nla.obj-395634663,digitised,68,68,journal-of-the-royal-victorian-institute-of-archit-nla.obj-395634663
Junior Red Cross record : official organ of the J.R.C. of N.S.W,Junior Red Cross of New South Wales,1919-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-69071687,https://trove.nla.gov.au/work/29883131,nla.obj-69071687,digitised,9,9,junior-red-cross-record-official-organ-of-the-j-r--nla.obj-69071687
"K.C.C. kennel gazette : the official organ of the publishers, the Kennel Control Council",Kennel Control Council (Vic.),1932-1962,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-760030452,https://trove.nla.gov.au/work/13481079,nla.obj-760030452,digitised,360,360,k-c-c-kennel-gazette-the-official-organ-of-the-pub-nla.obj-760030452
Kampspiegel Monatshefte : illustrierte zeitschrift fur die Kriegsgefangenen in Australien,,1918,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-25844222,https://trove.nla.gov.au/work/6219224,nla.obj-25844222,digitised,9,9,kampspiegel-monatshefte-illustrierte-zeitschrift-f-nla.obj-25844222
Kerr's Melbourne almanac and Port Phillip directory for ... : a compendium of useful and accurate information connected with Port Phillip,,1800,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2868641758,https://trove.nla.gov.au/work/21505055,nla.obj-2868641758,digitised,2,2,kerr-s-melbourne-almanac-and-port-phillip-director-nla.obj-2868641758
Kogarah school magazine,Kogarah School,1921-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2387126210,https://trove.nla.gov.au/work/22221888,nla.obj-2387126210,digitised,6,1,kogarah-school-magazine-nla.obj-2387126210
Kwato Mission tidings,Kwato Extension Association,1931,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-287612280,https://trove.nla.gov.au/work/32748203,nla.obj-287612280,digitised,14,13,kwato-mission-tidings-nla.obj-287612280
La Vie Ormondaise,,1919,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-5745053,https://trove.nla.gov.au/work/27009965,nla.obj-5745053,digitised,1,1,la-vie-ormondaise-nla.obj-5745053
"Ladder (Victoria Park, W.A.)",Australian Aborigines' Amelioration Association,1936-1939,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2164526263,https://trove.nla.gov.au/work/32619730,nla.obj-2164526263,digitised,10,10,ladder-victoria-park-w-a-nla.obj-2164526263
"Laws, etc",Northern Territory,1900-1977,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-53997640,https://trove.nla.gov.au/work/18588210,nla.obj-53997640,digitised,7,7,laws-etc-nla.obj-53997640
"Laws, etc",Western Australia,1801-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-55208664,https://trove.nla.gov.au/work/19257118,nla.obj-55208664,digitised,18,17,laws-etc-nla.obj-55208664
"Laws, etc",Western Australia,1841-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-55568008,https://trove.nla.gov.au/work/5705502,nla.obj-55568008,digitised,4,4,laws-etc-nla.obj-55568008
"Laws, etc",Papua,1906-1945,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-25561358,https://trove.nla.gov.au/work/22395760,nla.obj-25561358,digitised,1,1,laws-etc-nla.obj-25561358
"Laws, etc",Queensland,1800-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-54468076,https://trove.nla.gov.au/work/13426710,nla.obj-54468076,digitised,11,2,laws-etc-nla.obj-54468076
"Laws, etc",Northern Territory,1961-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-54933471,https://trove.nla.gov.au/work/9383231,nla.obj-54933471,digitised,2,2,laws-etc-nla.obj-54933471
"Laws, etc",South Australia,1800-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-53890906,https://trove.nla.gov.au/work/5697742,nla.obj-53890906,digitised,19,19,laws-etc-nla.obj-53890906
"Laws, etc. (Acts of Parliament of Victoria)",Victoria,1800-1900,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-54185597,https://trove.nla.gov.au/work/12412785,nla.obj-54185597,digitised,4,3,laws-etc-acts-of-parliament-of-victoria-nla.obj-54185597
"Laws, etc. (Acts of the Parliament)",Victoria,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other | Microform",http://nla.gov.au/nla.obj-54127737,https://trove.nla.gov.au/work/10078182,nla.obj-54127737,digitised,15,15,laws-etc-acts-of-the-parliament-nla.obj-54127737
"Laws, etc. (Acts of the Victorian Parliament)",Victoria,1865-2021,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-55252550,https://trove.nla.gov.au/work/26625903,nla.obj-55252550,digitised,1,1,laws-etc-acts-of-the-victorian-parliament-nla.obj-55252550
"Laws, etc. (Acts)",Tasmania,1822-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-53819823,https://trove.nla.gov.au/work/18065300,nla.obj-53819823,digitised,13,13,laws-etc-acts-nla.obj-53819823
"Laws, etc. (Laws of the Australian Capital Territory)",Australian Capital Territory,1938-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-54089858,https://trove.nla.gov.au/work/17413554,nla.obj-54089858,digitised,10,10,laws-etc-laws-of-the-australian-capital-territory-nla.obj-54089858
Lesbians on the loose,,1900-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-851395032,https://trove.nla.gov.au/work/18030396,nla.obj-851395032,digitised,110,110,lesbians-on-the-loose-nla.obj-851395032
Letter from Bishop Willis and report for... of the Anglican Church in Tonga,Anglican Church in Tonga,1900-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-291423533,https://trove.nla.gov.au/work/33131672,nla.obj-291423533,digitised,11,11,letter-from-bishop-willis-and-report-for-of-the-an-nla.obj-291423533
"Liberty (Sydney, N.S.W. : Online)",,1932-1934,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-760289107,https://trove.nla.gov.au/work/238033248,nla.obj-760289107,other,21,21,liberty-sydney-n-s-w-online-nla.obj-760289107
"Liberty (Sydney, N.S.W.)",,1932-1934,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-760289107,https://trove.nla.gov.au/work/6399562,nla.obj-760289107,digitised,21,21,liberty-sydney-n-s-w-nla.obj-760289107
Liberty (Victorian Democratic Rights Council),Victorian Democratic Rights Council,1950-1951,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-88851801,https://trove.nla.gov.au/work/24643290,nla.obj-88851801,digitised,2,2,liberty-victorian-democratic-rights-council-nla.obj-88851801
Life's continuing study of magazine audiences,Committee to Study Weekly Magazine Audiences,1938-1947,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-25542067,https://trove.nla.gov.au/work/32241150,nla.obj-25542067,digitised,2,2,life-s-continuing-study-of-magazine-audiences-nla.obj-25542067
Lincoln flock book : being a register of pure-bred Lincoln flocks in every state in the Commonwealth of Australia / Australian Longwool Sheepbreeders' Association,Australian Longwool Sheepbreeders' Association,1900-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2946791855,https://trove.nla.gov.au/work/32287330,nla.obj-2946791855,digitised,1,1,lincoln-flock-book-being-a-register-of-pure-bred-l-nla.obj-2946791855
List of commonwealth bodies / Senate Standing Committee on Finance and Government Operations,Australia. Parliament. Senate. Standing Committee on Finance and Government Operations,1987-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1313780550,https://trove.nla.gov.au/work/9027351,nla.obj-1313780550,digitised,6,6,list-of-commonwealth-bodies-senate-standing-commit-nla.obj-1313780550
"Listening post (Sydney, N.S.W.)","2SER-FM (Radio station : Sydney, N.S.W.)",1979-1998,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1447219380,https://trove.nla.gov.au/work/18928928,nla.obj-1447219380,digitised,138,138,listening-post-sydney-n-s-w-nla.obj-1447219380
Literary news (Online),,1837-1838,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-765536757,https://trove.nla.gov.au/work/238002346,nla.obj-765536757,other,26,26,literary-news-online-nla.obj-765536757
Local government national report ... : report on the operation of the Local Government (Financial Assistance) Act 1995,Australia. National Office of Local Government,1996-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-998241323,https://trove.nla.gov.au/work/24067556,nla.obj-998241323,digitised,6,6,local-government-national-report-report-on-the-ope-nla.obj-998241323
M. & H. magazine,"Australia. Army. Australian General Hospital, 5th",1918-1924,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-62417183,https://trove.nla.gov.au/work/29810240,nla.obj-62417183,digitised,9,9,m-h-magazine-nla.obj-62417183
Macivor's farmers' year book : the Australasian agricultural annual,,1800-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-427445807,https://trove.nla.gov.au/work/22400856,nla.obj-427445807,digitised,1,1,macivor-s-farmers-year-book-the-australasian-agric-nla.obj-427445807
Mackay's Australian almanac for ..,"Ramsay, T.M.",1861-1877,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-448176790,https://trove.nla.gov.au/work/5527002,nla.obj-448176790,digitised,2,2,mackay-s-australian-almanac-for-nla.obj-448176790
Magazine,Royal Australian Naval College,1913-2021,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-8045075,https://trove.nla.gov.au/work/13446863,nla.obj-8045075,digitised,8,8,magazine-nla.obj-8045075
Magazine / Bamaga P-12 School,Bamaga P-12 School,1999-2004,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-526662719,https://trove.nla.gov.au/work/200685665,nla.obj-526662719,digitised,6,6,magazine-bamaga-p-12-school-nla.obj-526662719
Magazine / Fawkner Subschool,Fawkner Subschool,1975-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-355881248,https://trove.nla.gov.au/work/23458350,nla.obj-355881248,digitised,4,4,magazine-fawkner-subschool-nla.obj-355881248
